date,inventory_id,opening_stock,quantity_consumed,quantity_restocked,closing_stock,vendor_id,lead_time_days,department_count,min_stock,max_capacity,item_name,form,use,item_type,out_of_stock,low_stock
2025-12-01,INV0120,106,50,18,74,VEND015,4,4,17,152,Gloves,Device,Protection,Consumable,False,False
2025-12-01,INV0121,175,71,8,112,VEND006,6,3,6,196,Insulin,Drug,Diabetes,Drug,False,False
2025-12-01,INV0122,169,43,15,141,VEND001,3,4,17,194,Alcohol swabs,Consumable,Disinfection,Consumable,False,False
2025-12-01,INV0123,65,46,61,80,VEND008,3,4,16,146,Insulin,Drug,Diabetes,Drug,False,False
2025-12-01,INV0124,58,10,1,49,VEND014,3,5,6,81,Antacids,Drug,Digestive,Drug,False,False
2025-12-01,INV0125,22,13,37,46,VEND019,6,3,9,137,Glucometer,Equipment,Monitoring,Equipment,False,False
2025-12-01,INV0126,66,64,10,12,VEND011,4,5,9,163,Cotton rolls,Consumable,Wound Care,Consumable,False,False
2025-12-01,INV0127,130,109,15,36,VEND004,7,5,20,152,Gloves,Device,Protection,Consumable,False,False
2025-12-01,INV0128,105,20,3,88,VEND015,6,1,10,115,BP Monitor,Equipment,Monitoring,Equipment,False,False
2025-12-01,INV0129,89,47,19,61,VEND011,10,5,16,111,Syringes,Device,Injection,Consumable,False,False
2025-12-01,INV0130,145,76,1,70,VEND011,5,5,20,189,Cardiovascular drugs,Drug,Cardio Care,Drug,False,False
2025-12-01,INV0131,17,9,104,112,VEND018,8,3,14,205,Bandages,Device,Wound Care,Consumable,False,False
2025-12-01,INV0132,25,1,10,34,VEND016,4,4,20,174,Catheters,Device,Urinary,Consumable,False,False
2025-12-01,INV0133,56,23,3,36,VEND007,9,1,12,71,Medications,Drug,Treatment,Drug,False,False
2025-12-01,INV0134,137,41,9,105,VEND010,6,1,5,172,Antacids,Drug,Digestive,Drug,False,False
2025-12-01,INV0135,51,18,19,52,VEND017,9,3,15,106,Antibiotics,Drug,Infection,Drug,False,False
2025-12-01,INV0136,36,36,53,53,VEND019,2,2,7,95,Defibrillator pads,Equipment,Emergency,Equipment,False,False
2025-12-01,INV0137,76,30,16,62,VEND005,7,1,12,149,IV sets,Device,Fluid Therapy,Consumable,False,False
2025-12-01,INV0138,29,12,6,23,VEND006,1,3,7,114,Medications,Drug,Treatment,Drug,False,False
2025-12-01,INV0139,145,81,6,70,VEND004,8,2,7,155,Catheters,Device,Urinary,Consumable,False,False
2025-12-01,INV0140,95,10,7,92,VEND012,2,5,10,147,Syringes,Device,Injection,Consumable,False,False
2025-12-01,INV0141,27,6,31,52,VEND013,3,4,15,72,Catheters,Device,Urinary,Consumable,False,False
2025-12-01,INV0142,34,28,8,14,VEND007,6,1,12,92,Syringes,Device,Injection,Consumable,False,False
2025-12-01,INV0143,48,29,59,78,VEND011,6,2,5,118,Gloves,Device,Protection,Consumable,False,False
2025-12-01,INV0144,115,98,1,18,VEND009,6,2,11,116,Syringes,Device,Injection,Consumable,False,False
2025-12-01,INV0145,66,18,37,85,VEND005,1,1,7,178,Thermometer,Equipment,Monitoring,Equipment,False,False
2025-12-01,INV0146,107,32,53,128,VEND003,2,4,6,172,Painkillers,Drug,Pain Relief,Drug,False,False
2025-12-01,INV0147,23,15,49,57,VEND006,10,3,5,151,Syringes,Device,Injection,Consumable,False,False
2025-12-01,INV0148,68,48,41,61,VEND008,7,3,8,144,Bandages,Device,Wound Care,Consumable,False,False
2025-12-01,INV0149,22,22,82,82,VEND014,2,1,18,111,Bandages,Device,Wound Care,Consumable,False,False
2025-12-01,INV0150,62,18,7,51,VEND001,3,1,5,123,Alcohol swabs,Consumable,Disinfection,Consumable,False,False
2025-12-01,INV0151,135,89,14,60,VEND019,4,4,17,179,BP Monitor,Equipment,Monitoring,Equipment,False,False
2025-12-01,INV0152,47,10,13,50,VEND010,6,4,14,69,Antiseptics,Consumable,Disinfection,Consumable,False,False
2025-12-01,INV0153,55,21,30,64,VEND017,3,2,17,110,Alcohol swabs,Consumable,Disinfection,Consumable,False,False
2025-12-01,INV0154,96,68,31,59,VEND002,10,3,8,129,Bandages,Device,Wound Care,Consumable,False,False
2025-12-01,INV0155,24,5,25,44,VEND006,5,1,18,69,Masks,Device,Protection,Consumable,False,False
2025-12-01,INV0156,101,34,27,94,VEND004,1,2,19,135,Thermometer,Equipment,Monitoring,Equipment,False,False
2025-12-01,INV0157,41,12,85,114,VEND010,8,3,14,154,Alcohol swabs,Consumable,Disinfection,Consumable,False,False
2025-12-01,INV0158,173,44,11,140,VEND009,2,3,15,188,Bandages,Device,Wound Care,Consumable,False,False
2025-12-01,INV0159,154,28,26,152,VEND006,4,1,19,180,BP Monitor,Equipment,Monitoring,Equipment,False,False
2025-12-01,INV0160,50,30,34,54,VEND006,5,1,18,156,Medications,Drug,Treatment,Drug,False,False
2025-12-01,INV0161,44,3,0,41,VEND002,10,5,13,71,Catheters,Device,Urinary,Consumable,False,False
2025-12-01,INV0162,84,46,11,49,VEND011,5,4,11,125,IV sets,Device,Fluid Therapy,Consumable,False,False
2025-12-01,INV0163,36,1,0,35,VEND017,7,5,7,60,Alcohol swabs,Consumable,Disinfection,Consumable,False,False
2025-12-01,INV0164,73,4,2,71,VEND003,2,4,6,77,Medications,Drug,Treatment,Drug,False,False
2025-12-01,INV0165,17,10,7,14,VEND012,7,3,16,195,Defibrillator pads,Equipment,Emergency,Equipment,False,True
2025-12-01,INV0166,139,113,20,46,VEND017,4,1,6,182,Nebulizer kit,Equipment,Respiratory,Equipment,False,False
2025-12-01,INV0167,56,3,96,149,VEND009,3,5,19,183,Thermometer,Equipment,Monitoring,Equipment,False,False
2025-12-01,INV0168,48,9,41,80,VEND001,7,5,12,102,Gloves,Device,Protection,Consumable,False,False
2025-12-01,INV0169,36,36,11,11,VEND003,10,4,10,100,Glucometer,Equipment,Monitoring,Equipment,False,False
2025-12-01,INV0170,120,30,19,109,VEND002,5,3,18,162,IV sets,Device,Fluid Therapy,Consumable,False,False
2025-12-01,INV0171,80,31,35,84,VEND015,10,1,7,178,Masks,Device,Protection,Consumable,False,False
2025-12-01,INV0172,43,18,149,174,VEND012,2,5,9,195,Syringes,Device,Injection,Consumable,False,False
2025-12-01,INV0173,93,8,89,174,VEND018,3,2,16,192,Defibrillator pads,Equipment,Emergency,Equipment,False,False
2025-12-01,INV0174,127,90,56,93,VEND001,2,5,11,210,Alcohol swabs,Consumable,Disinfection,Consumable,False,False
2025-12-01,INV0175,27,23,48,52,VEND018,5,1,19,89,Cardiovascular drugs,Drug,Cardio Care,Drug,False,False
2025-12-01,INV0176,164,93,27,98,VEND009,1,3,6,191,Masks,Device,Protection,Consumable,False,False
2025-12-01,INV0177,24,21,20,23,VEND014,5,4,20,92,Cardiovascular drugs,Drug,Cardio Care,Drug,False,False
2025-12-01,INV0178,57,47,24,34,VEND008,9,3,19,123,Thermometer,Equipment,Monitoring,Equipment,False,False
2025-12-01,INV0179,44,23,98,119,VEND006,4,3,17,208,Antiseptics,Consumable,Disinfection,Consumable,False,False
2025-12-01,INV0180,70,39,21,52,VEND001,3,1,10,115,Steroids,Drug,Hormone Therapy,Drug,False,False
2025-12-01,INV0181,30,26,56,60,VEND009,8,3,9,104,Insulin,Drug,Diabetes,Drug,False,False
2025-12-01,INV0182,82,66,13,29,VEND002,5,3,19,197,Bandages,Device,Wound Care,Consumable,False,False
2025-12-01,INV0183,48,18,90,120,VEND016,3,3,8,142,Defibrillator pads,Equipment,Emergency,Equipment,False,False
2025-12-01,INV0184,42,2,22,62,VEND020,7,3,10,69,Antacids,Drug,Digestive,Drug,False,False
2025-12-01,INV0185,106,34,55,127,VEND020,3,2,16,165,Glucometer,Equipment,Monitoring,Equipment,False,False
2025-12-01,INV0186,44,1,67,110,VEND008,10,2,15,130,Glucometer,Equipment,Monitoring,Equipment,False,False
2025-12-01,INV0187,66,65,4,5,VEND010,1,3,13,207,Insulin,Drug,Diabetes,Drug,False,True
2025-12-01,INV0188,48,1,44,91,VEND002,7,5,15,101,Thermometer,Equipment,Monitoring,Equipment,False,False
2025-12-01,INV0189,108,18,24,114,VEND006,6,2,8,132,Steroids,Drug,Hormone Therapy,Drug,False,False
2025-12-01,INV0190,149,142,7,14,VEND013,6,2,18,167,Catheters,Device,Urinary,Consumable,False,True
2025-12-01,INV0191,69,68,65,66,VEND016,2,3,18,156,Steroids,Drug,Hormone Therapy,Drug,False,False
2025-12-01,INV0192,71,39,15,47,VEND006,10,5,10,88,Steroids,Drug,Hormone Therapy,Drug,False,False
2025-12-01,INV0193,67,18,53,102,VEND015,10,1,14,174,Thermometer,Equipment,Monitoring,Equipment,False,False
2025-12-01,INV0194,79,22,35,92,VEND011,10,3,9,188,Catheters,Device,Urinary,Consumable,False,False
2025-12-01,INV0195,122,50,5,77,VEND007,9,5,19,130,Antiseptics,Consumable,Disinfection,Consumable,False,False
2025-12-01,INV0196,117,115,10,12,VEND008,3,4,20,127,Thermometer,Equipment,Monitoring,Equipment,False,True
2025-12-01,INV0197,66,66,52,52,VEND007,10,3,19,142,Catheters,Device,Urinary,Consumable,False,False
2025-12-01,INV0198,104,48,9,65,VEND006,5,3,8,141,Steroids,Drug,Hormone Therapy,Drug,False,False
2025-12-01,INV0199,134,1,12,145,VEND002,1,2,18,176,Cardiovascular drugs,Drug,Cardio Care,Drug,False,False
2025-12-01,INV0200,29,0,39,68,VEND017,9,5,19,83,Masks,Device,Protection,Consumable,False,False
