Transaction_ID,Date,Inventory_ID,Quantity_Consumed,Department,Staff_ID,Shift,Consumption_Reason,Remaining_Stock,Batch_Lot
TXN000072,27-08-2025,INV00491,13,Pediatrics,STF4060,Night,Emergency Use,446,LOT64101
TXN000073,02-08-2025,INV00152,18,ICU,STF8886,Afternoon,Emergency Use,328,LOT95563
TXN000074,14-08-2025,INV00116,16,Surgery,STF2406,Afternoon,Emergency Use,212,LOT16478
TXN000075,16-08-2025,INV00224,1,General,STF2989,Afternoon,Routine Use,10,LOT60113
TXN000076,25-08-2025,INV00344,18,ICU,STF9177,Morning,Routine Use,127,LOT35124
TXN000077,08-08-2025,INV00376,6,ICU,STF6401,Morning,Routine Use,243,LOT13859
TXN000078,24-08-2025,INV00181,4,General,STF2475,Morning,Routine Use,36,LOT57454
TXN000079,06-08-2025,INV00144,4,ER,STF1551,Morning,Routine Use,164,LOT52755
TXN000080,16-08-2025,INV00271,17,ER,STF6243,Night,Emergency Use,30,LOT86320
TXN000081,16-08-2025,INV00374,2,General,STF6993,Night,Routine Use,211,LOT67154
TXN000082,23-08-2025,INV00496,6,ICU,STF4734,Morning,Emergency Use,52,LOT54976
TXN000083,30-08-2025,INV00111,10,Pediatrics,STF2306,Night,Routine Use,363,LOT19771
TXN000084,08-08-2025,INV00034,14,ICU,STF1179,Afternoon,Routine Use,365,LOT29789
TXN000085,02-08-2025,INV00332,8,General,STF8919,Night,Routine Use,290,LOT96982
TXN000086,25-08-2025,INV00324,10,Pediatrics,STF5617,Night,Routine Use,384,LOT79699
TXN000087,06-08-2025,INV00287,19,Surgery,STF1999,Morning,Emergency Use,485,LOT12154
TXN000088,26-08-2025,INV00133,13,Surgery,STF4682,Afternoon,Emergency Use,341,LOT56434
TXN000089,24-08-2025,INV00124,12,ER,STF3417,Morning,Emergency Use,74,LOT78379
TXN000090,09-08-2025,INV00305,15,General,STF4130,Morning,Routine Use,185,LOT17053
TXN000091,21-08-2025,INV00021,8,ICU,STF4184,Afternoon,Routine Use,337,LOT79943
TXN000092,02-08-2025,INV00287,10,General,STF4561,Night,Routine Use,310,LOT81735
TXN000093,26-08-2025,INV00003,3,ICU,STF3832,Afternoon,Routine Use,169,LOT52108
TXN000094,20-08-2025,INV00488,18,General,STF2811,Afternoon,Routine Use,34,LOT73127
TXN000095,03-08-2025,INV00274,18,ICU,STF7600,Night,Emergency Use,423,LOT40223
TXN000096,14-08-2025,INV00105,4,ICU,STF8181,Afternoon,Routine Use,33,LOT72216
TXN000097,14-08-2025,INV00380,10,ER,STF3733,Morning,Emergency Use,404,LOT23808
TXN000098,26-08-2025,INV00351,11,General,STF2030,Afternoon,Emergency Use,129,LOT52666
TXN000099,22-08-2025,INV00330,19,ICU,STF3811,Night,Emergency Use,408,LOT40030
TXN000100,02-08-2025,INV00454,7,ER,STF7779,Afternoon,Routine Use,27,LOT52818
TXN000101,26-08-2025,INV00457,9,ER,STF5802,Night,Routine Use,266,LOT45019
TXN000102,20-08-2025,INV00061,1,ICU,STF8049,Afternoon,Emergency Use,179,LOT93060
TXN000103,08-08-2025,INV00334,4,ICU,STF1796,Morning,Routine Use,104,LOT64593
TXN000104,07-08-2025,INV00440,6,ER,STF3257,Afternoon,Emergency Use,29,LOT31030
TXN000105,17-08-2025,INV00103,14,ICU,STF4778,Afternoon,Routine Use,250,LOT48408
TXN000106,07-08-2025,INV00161,6,General,STF3151,Afternoon,Emergency Use,9,LOT33432
TXN000107,13-08-2025,INV00141,8,ICU,STF6654,Morning,Emergency Use,294,LOT34632
TXN000108,15-08-2025,INV00381,17,General,STF8167,Morning,Emergency Use,79,LOT30601
TXN000109,18-08-2025,INV00304,5,General,STF1578,Night,Routine Use,375,LOT78494
TXN000110,26-08-2025,INV00256,6,ICU,STF7050,Afternoon,Emergency Use,68,LOT47323
TXN000111,27-08-2025,INV00038,19,ICU,STF8278,Night,Routine Use,283,LOT97818
TXN000112,16-08-2025,INV00470,14,ER,STF1514,Morning,Emergency Use,401,LOT88233
TXN000113,11-08-2025,INV00105,5,ICU,STF8537,Morning,Emergency Use,382,LOT50836
TXN000114,15-08-2025,INV00164,13,Surgery,STF2986,Afternoon,Routine Use,417,LOT28640
TXN000115,10-08-2025,INV00028,16,Pediatrics,STF3898,Afternoon,Routine Use,269,LOT16955
TXN000116,30-08-2025,INV00113,6,ER,STF2398,Night,Routine Use,475,LOT45531
TXN000117,07-08-2025,INV00083,6,Surgery,STF8527,Night,Routine Use,338,LOT20581
TXN000118,02-08-2025,INV00430,11,Surgery,STF5308,Afternoon,Routine Use,104,LOT26129
TXN000119,09-08-2025,INV00029,20,ER,STF7667,Morning,Emergency Use,214,LOT41009
TXN000120,04-08-2025,INV00331,9,ICU,STF4440,Morning,Routine Use,268,LOT41671
TXN000121,10-08-2025,INV00067,11,ER,STF1808,Afternoon,Emergency Use,19,LOT23214
TXN000122,16-08-2025,INV00458,19,Pediatrics,STF5118,Night,Routine Use,184,LOT32294
TXN000123,25-08-2025,INV00017,5,ER,STF5755,Morning,Emergency Use,182,LOT55747
TXN000124,15-08-2025,INV00041,8,Surgery,STF7462,Night,Emergency Use,240,LOT95667
TXN000125,12-08-2025,INV00097,11,Surgery,STF5429,Afternoon,Emergency Use,161,LOT90581
TXN000126,21-08-2025,INV00417,9,ER,STF9982,Afternoon,Emergency Use,67,LOT44266
TXN000127,29-08-2025,INV00425,4,Pediatrics,STF2888,Morning,Emergency Use,198,LOT18243
TXN000128,13-08-2025,INV00347,11,General,STF4243,Night,Emergency Use,477,LOT38755
TXN000129,29-08-2025,INV00023,13,Surgery,STF8832,Afternoon,Routine Use,408,LOT53548
TXN000130,26-08-2025,INV00261,18,General,STF3834,Night,Routine Use,399,LOT79399
TXN000131,10-08-2025,INV00129,17,ICU,STF6987,Morning,Routine Use,118,LOT26051
TXN000132,24-08-2025,INV00067,14,General,STF4175,Afternoon,Routine Use,356,LOT19706
TXN000133,03-08-2025,INV00364,2,ICU,STF6163,Afternoon,Routine Use,427,LOT24193
TXN000134,10-08-2025,INV00402,5,ER,STF7605,Morning,Emergency Use,477,LOT28776
TXN000135,16-08-2025,INV00024,13,Pediatrics,STF2276,Morning,Emergency Use,383,LOT27747
TXN000136,15-08-2025,INV00452,15,ER,STF2531,Morning,Routine Use,470,LOT24126
TXN000137,03-08-2025,INV00068,20,ER,STF8132,Night,Routine Use,72,LOT64799
TXN000138,10-08-2025,INV00134,8,Pediatrics,STF2501,Morning,Routine Use,176,LOT80003
TXN000139,07-08-2025,INV00344,6,Pediatrics,STF4206,Afternoon,Emergency Use,459,LOT49426
TXN000140,01-08-2025,INV00055,11,ER,STF2060,Afternoon,Emergency Use,333,LOT53291
TXN000141,24-08-2025,INV00089,16,Pediatrics,STF5376,Morning,Emergency Use,66,LOT24548
TXN000142,12-08-2025,INV00387,14,ICU,STF4797,Afternoon,Emergency Use,124,LOT50762
TXN000143,17-08-2025,INV00338,10,ICU,STF4054,Afternoon,Routine Use,178,LOT46353
TXN000144,08-08-2025,INV00275,2,Pediatrics,STF4528,Afternoon,Emergency Use,422,LOT99049
TXN000145,24-08-2025,INV00130,17,ER,STF3195,Morning,Emergency Use,225,LOT73350
TXN000146,25-08-2025,INV00018,20,ER,STF9711,Morning,Routine Use,268,LOT82520
TXN000147,18-08-2025,INV00155,2,General,STF1584,Night,Emergency Use,429,LOT50624
TXN000148,06-08-2025,INV00134,13,ER,STF2009,Night,Emergency Use,186,LOT66861
TXN000149,02-08-2025,INV00470,5,Pediatrics,STF2278,Afternoon,Routine Use,139,LOT59993
TXN000150,23-08-2025,INV00201,1,ER,STF7169,Morning,Routine Use,109,LOT36235
TXN000151,17-08-2025,INV00291,18,ER,STF8404,Afternoon,Routine Use,111,LOT69062
TXN000152,24-08-2025,INV00353,17,ICU,STF4889,Night,Emergency Use,153,LOT81747
TXN000153,13-08-2025,INV00314,9,ICU,STF2261,Night,Emergency Use,360,LOT88259
TXN000154,15-08-2025,INV00090,18,Pediatrics,STF3739,Morning,Emergency Use,364,LOT84010
TXN000155,21-08-2025,INV00353,1,General,STF5332,Night,Emergency Use,487,LOT77030
TXN000156,07-08-2025,INV00279,16,Pediatrics,STF2607,Morning,Routine Use,494,LOT41689
TXN000157,30-08-2025,INV00024,3,Pediatrics,STF2236,Night,Routine Use,344,LOT56786
TXN000158,23-08-2025,INV00019,5,General,STF8408,Night,Routine Use,416,LOT57669
TXN000159,04-08-2025,INV00113,5,General,STF8842,Morning,Emergency Use,216,LOT14196
TXN000160,24-08-2025,INV00277,8,ICU,STF2954,Afternoon,Emergency Use,432,LOT50899
TXN000161,17-08-2025,INV00235,18,General,STF1578,Night,Emergency Use,472,LOT23814
TXN000162,18-08-2025,INV00033,20,Pediatrics,STF4850,Morning,Emergency Use,251,LOT43598
TXN000163,20-08-2025,INV00305,20,ER,STF5426,Night,Emergency Use,419,LOT71766
TXN000164,05-08-2025,INV00146,8,Pediatrics,STF5478,Morning,Routine Use,368,LOT77637
TXN000165,09-08-2025,INV00322,19,General,STF1408,Night,Routine Use,326,LOT49160
TXN000166,19-08-2025,INV00343,7,ER,STF5015,Afternoon,Routine Use,90,LOT54666
TXN000167,26-08-2025,INV00342,20,ER,STF5749,Morning,Routine Use,496,LOT42071
TXN000168,08-08-2025,INV00254,1,ER,STF4685,Night,Routine Use,125,LOT83059
TXN000169,07-08-2025,INV00186,16,General,STF4806,Afternoon,Routine Use,263,LOT29775
TXN000170,31-08-2025,INV00136,13,ER,STF5510,Morning,Emergency Use,75,LOT68177
TXN000171,13-08-2025,INV00108,15,ER,STF7499,Morning,Emergency Use,304,LOT13081
TXN000172,07-08-2025,INV00432,15,ER,STF2509,Morning,Routine Use,70,LOT58196
TXN000173,15-08-2025,INV00409,6,General,STF5329,Afternoon,Routine Use,199,LOT56316
TXN000174,21-08-2025,INV00218,7,Pediatrics,STF7182,Morning,Routine Use,477,LOT21243
TXN000175,26-08-2025,INV00229,20,General,STF5291,Night,Routine Use,405,LOT50331
TXN000176,29-08-2025,INV00294,15,ER,STF8009,Afternoon,Emergency Use,321,LOT16286
TXN000177,13-08-2025,INV00345,2,ICU,STF5331,Afternoon,Emergency Use,395,LOT87443
TXN000178,02-08-2025,INV00240,7,Surgery,STF8555,Afternoon,Routine Use,112,LOT53438
TXN000179,18-08-2025,INV00299,17,Pediatrics,STF4044,Afternoon,Routine Use,396,LOT49421
TXN000180,19-08-2025,INV00250,16,Surgery,STF9811,Morning,Routine Use,465,LOT94200
TXN000181,03-08-2025,INV00022,19,ICU,STF5341,Morning,Emergency Use,101,LOT37317
TXN000182,23-08-2025,INV00104,1,ER,STF9892,Afternoon,Routine Use,381,LOT82461
TXN000183,24-08-2025,INV00010,14,Surgery,STF6958,Afternoon,Emergency Use,252,LOT76504
TXN000184,23-08-2025,INV00074,14,ICU,STF1936,Morning,Routine Use,190,LOT96556
TXN000185,31-08-2025,INV00349,14,ER,STF8825,Afternoon,Routine Use,467,LOT85274
TXN000186,22-08-2025,INV00488,5,Pediatrics,STF4605,Afternoon,Emergency Use,80,LOT49794
TXN000187,22-08-2025,INV00494,18,ICU,STF3521,Night,Routine Use,188,LOT54342
TXN000188,07-08-2025,INV00077,4,General,STF2592,Morning,Emergency Use,295,LOT12066
TXN000189,25-08-2025,INV00384,8,General,STF9921,Afternoon,Routine Use,241,LOT30919
TXN000190,04-08-2025,INV00134,18,Pediatrics,STF3020,Afternoon,Routine Use,128,LOT64993
TXN000191,31-08-2025,INV00352,17,ER,STF9433,Morning,Routine Use,418,LOT17805
TXN000192,14-08-2025,INV00423,20,Pediatrics,STF1244,Night,Emergency Use,352,LOT85256
TXN000193,04-08-2025,INV00136,19,ICU,STF5513,Night,Emergency Use,221,LOT93619
TXN000194,16-08-2025,INV00256,17,Pediatrics,STF4556,Morning,Emergency Use,147,LOT52565
TXN000195,27-08-2025,INV00075,12,Surgery,STF3617,Afternoon,Emergency Use,206,LOT70296
TXN000196,18-08-2025,INV00003,16,ICU,STF6495,Night,Routine Use,273,LOT30862
TXN000197,08-08-2025,INV00242,11,ER,STF3786,Afternoon,Emergency Use,191,LOT11537
TXN000198,16-08-2025,INV00327,8,ER,STF3194,Night,Routine Use,487,LOT30230
TXN000199,11-08-2025,INV00246,16,General,STF6644,Night,Emergency Use,209,LOT36898
TXN000200,12-08-2025,INV00094,6,General,STF8619,Morning,Routine Use,215,LOT66514
TXN000201,08-08-2025,INV00096,4,General,STF2625,Morning,Routine Use,355,LOT75054
TXN000202,22-08-2025,INV00028,3,ER,STF7876,Morning,Routine Use,85,LOT33832
TXN000203,31-08-2025,INV00208,18,Surgery,STF2640,Morning,Routine Use,226,LOT62370
TXN000204,10-08-2025,INV00369,7,ICU,STF8138,Morning,Routine Use,466,LOT60557
TXN000205,02-08-2025,INV00386,16,ER,STF9819,Morning,Emergency Use,272,LOT34597
TXN000206,31-08-2025,INV00241,11,ER,STF2872,Night,Emergency Use,321,LOT12157
TXN000207,15-08-2025,INV00418,9,ICU,STF3600,Night,Emergency Use,420,LOT84517
TXN000208,30-08-2025,INV00322,9,Surgery,STF8712,Morning,Routine Use,74,LOT30635
TXN000209,21-08-2025,INV00441,5,General,STF8362,Night,Emergency Use,59,LOT50713
TXN000210,28-08-2025,INV00384,17,Pediatrics,STF5538,Afternoon,Emergency Use,58,LOT77587
TXN000211,31-08-2025,INV00016,16,ER,STF6525,Night,Emergency Use,305,LOT50697
TXN000212,07-08-2025,INV00310,2,ICU,STF9912,Afternoon,Routine Use,498,LOT20477
TXN000213,21-08-2025,INV00138,6,General,STF2671,Morning,Emergency Use,232,LOT40162
TXN000214,02-08-2025,INV00266,7,Pediatrics,STF9540,Afternoon,Emergency Use,458,LOT77727
TXN000215,15-08-2025,INV00383,20,General,STF7458,Afternoon,Emergency Use,156,LOT20230
TXN000216,10-08-2025,INV00095,13,ER,STF2752,Night,Emergency Use,208,LOT56626
TXN000217,16-08-2025,INV00088,1,Pediatrics,STF5418,Morning,Emergency Use,363,LOT28717
TXN000218,22-08-2025,INV00109,4,ER,STF3621,Morning,Routine Use,68,LOT84784
TXN000219,18-08-2025,INV00463,11,General,STF5825,Afternoon,Emergency Use,118,LOT83894
TXN000220,23-08-2025,INV00308,6,ICU,STF2565,Afternoon,Routine Use,140,LOT53540
TXN000221,08-08-2025,INV00484,3,Pediatrics,STF3679,Morning,Emergency Use,59,LOT76531
TXN000222,03-08-2025,INV00083,18,ER,STF8850,Afternoon,Emergency Use,221,LOT21866
TXN000223,18-08-2025,INV00410,12,General,STF4126,Night,Emergency Use,150,LOT38163
TXN000224,03-08-2025,INV00179,6,ER,STF6621,Morning,Routine Use,444,LOT17211
TXN000225,27-08-2025,INV00249,5,General,STF5859,Afternoon,Emergency Use,392,LOT78995
TXN000226,15-08-2025,INV00365,7,Surgery,STF5980,Afternoon,Emergency Use,269,LOT74568
TXN000227,08-08-2025,INV00182,7,Pediatrics,STF6444,Morning,Routine Use,313,LOT93006
TXN000228,08-08-2025,INV00119,18,General,STF4754,Morning,Emergency Use,334,LOT26166
TXN000229,11-08-2025,INV00242,1,ER,STF8380,Morning,Emergency Use,388,LOT78091
TXN000230,26-08-2025,INV00245,15,General,STF7282,Night,Emergency Use,182,LOT91578
TXN000231,15-08-2025,INV00214,8,ICU,STF5377,Morning,Emergency Use,441,LOT43106
TXN000232,23-08-2025,INV00499,17,General,STF2801,Morning,Emergency Use,37,LOT56858
TXN000233,21-08-2025,INV00353,8,General,STF7015,Morning,Emergency Use,128,LOT49329
TXN000234,23-08-2025,INV00344,1,General,STF4348,Morning,Emergency Use,162,LOT20302
TXN000235,29-08-2025,INV00234,15,Pediatrics,STF1485,Morning,Routine Use,171,LOT66844
TXN000236,30-08-2025,INV00488,14,Surgery,STF1474,Afternoon,Routine Use,364,LOT34911
TXN000237,17-08-2025,INV00337,20,Surgery,STF8806,Night,Routine Use,385,LOT15430
TXN000238,02-08-2025,INV00477,15,ER,STF7711,Afternoon,Emergency Use,413,LOT20055
TXN000239,23-08-2025,INV00183,15,Pediatrics,STF1717,Night,Routine Use,378,LOT48193
TXN000240,25-08-2025,INV00051,16,ER,STF5242,Morning,Routine Use,9,LOT26925
TXN000241,30-08-2025,INV00095,8,ICU,STF5809,Morning,Routine Use,82,LOT34194
TXN000242,13-08-2025,INV00392,18,Surgery,STF6566,Night,Emergency Use,462,LOT15485
TXN000243,18-08-2025,INV00143,11,General,STF7874,Morning,Routine Use,341,LOT33814
TXN000244,02-08-2025,INV00141,2,Surgery,STF5536,Afternoon,Routine Use,440,LOT48827
TXN000245,26-08-2025,INV00159,2,ER,STF9655,Afternoon,Routine Use,432,LOT74291
TXN000246,24-08-2025,INV00317,14,Surgery,STF1839,Night,Routine Use,95,LOT47097
TXN000247,26-08-2025,INV00295,6,General,STF9254,Afternoon,Routine Use,203,LOT64961
TXN000248,07-08-2025,INV00105,8,ICU,STF8839,Afternoon,Routine Use,45,LOT63697
TXN000249,11-08-2025,INV00113,19,ER,STF5807,Night,Routine Use,389,LOT45968
TXN000250,01-08-2025,INV00318,4,ER,STF5542,Afternoon,Emergency Use,52,LOT16844
TXN000251,28-08-2025,INV00006,11,General,STF4310,Afternoon,Routine Use,353,LOT92113
TXN000252,19-08-2025,INV00007,17,Pediatrics,STF2948,Morning,Emergency Use,109,LOT42704
TXN000253,28-08-2025,INV00168,18,ICU,STF1455,Afternoon,Emergency Use,493,LOT66986
TXN000254,26-08-2025,INV00399,20,Pediatrics,STF1165,Night,Emergency Use,11,LOT74280
TXN000255,25-08-2025,INV00244,6,Pediatrics,STF8700,Night,Routine Use,9,LOT38941
TXN000256,16-08-2025,INV00466,17,Pediatrics,STF6640,Morning,Emergency Use,325,LOT62208
TXN000257,20-08-2025,INV00120,10,ICU,STF2518,Night,Routine Use,26,LOT53164
TXN000258,11-08-2025,INV00018,14,General,STF2197,Morning,Routine Use,236,LOT85065
TXN000259,01-08-2025,INV00333,18,ER,STF1738,Night,Emergency Use,271,LOT54402
TXN000260,14-08-2025,INV00326,12,Pediatrics,STF5701,Morning,Emergency Use,383,LOT39029
TXN000261,05-08-2025,INV00433,7,General,STF4053,Morning,Routine Use,296,LOT51736
TXN000262,24-08-2025,INV00181,13,Pediatrics,STF1936,Morning,Routine Use,340,LOT17055
TXN000263,28-08-2025,INV00164,16,General,STF1801,Morning,Emergency Use,338,LOT86415
TXN000264,18-08-2025,INV00227,8,ICU,STF3196,Afternoon,Emergency Use,313,LOT51085
TXN000265,08-08-2025,INV00273,2,ICU,STF6257,Morning,Routine Use,472,LOT10077
TXN000266,09-08-2025,INV00274,6,Surgery,STF8133,Afternoon,Routine Use,120,LOT31524
TXN000267,23-08-2025,INV00173,19,Pediatrics,STF6313,Night,Routine Use,450,LOT98021
TXN000268,17-08-2025,INV00213,6,ER,STF2309,Afternoon,Emergency Use,301,LOT48051
TXN000269,02-08-2025,INV00094,2,ER,STF7765,Night,Routine Use,69,LOT48746
TXN000270,15-08-2025,INV00089,15,ER,STF7498,Night,Routine Use,168,LOT40531
TXN000271,11-08-2025,INV00309,8,General,STF4935,Afternoon,Emergency Use,231,LOT44697
TXN000272,08-08-2025,INV00178,16,ICU,STF8485,Night,Emergency Use,198,LOT97929
TXN000273,07-08-2025,INV00232,7,ER,STF3487,Night,Emergency Use,120,LOT54442
TXN000274,29-08-2025,INV00171,19,Surgery,STF9797,Afternoon,Routine Use,302,LOT33735
TXN000275,09-08-2025,INV00205,5,ER,STF5684,Afternoon,Emergency Use,100,LOT79420
TXN000276,01-08-2025,INV00447,1,ICU,STF4269,Afternoon,Emergency Use,253,LOT12244
TXN000277,25-08-2025,INV00285,8,Surgery,STF4247,Morning,Emergency Use,313,LOT36353
TXN000278,25-08-2025,INV00446,14,Pediatrics,STF7395,Morning,Emergency Use,162,LOT20160
TXN000279,13-08-2025,INV00351,4,Surgery,STF4281,Afternoon,Emergency Use,335,LOT43085
TXN000280,15-08-2025,INV00091,19,Pediatrics,STF1081,Morning,Routine Use,462,LOT42364
TXN000281,13-08-2025,INV00193,2,General,STF4982,Afternoon,Emergency Use,66,LOT58154
TXN000282,08-08-2025,INV00423,18,ICU,STF6124,Night,Emergency Use,394,LOT44581
TXN000283,18-08-2025,INV00133,1,ER,STF7657,Afternoon,Routine Use,339,LOT14846
TXN000284,13-08-2025,INV00067,6,ICU,STF9127,Afternoon,Emergency Use,44,LOT94973
TXN000285,06-08-2025,INV00247,16,ER,STF5773,Morning,Routine Use,349,LOT50276
TXN000286,13-08-2025,INV00427,10,Surgery,STF5849,Night,Routine Use,337,LOT80130
TXN000287,28-08-2025,INV00474,7,Surgery,STF4170,Afternoon,Emergency Use,476,LOT14162
TXN000288,20-08-2025,INV00163,12,Surgery,STF4123,Night,Emergency Use,267,LOT78814
TXN000289,30-08-2025,INV00382,6,General,STF7959,Morning,Emergency Use,142,LOT19491
